Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Educa+;15/12/2031;22/10/2025;8,15;8,27;3447,03;3432,4;3432,4
Tesouro Educa+;15/12/2042;22/10/2025;7,34;7,46;1630,84;1604,16;1604,16
Tesouro Educa+;15/12/2039;22/10/2025;7,45;7,57;1991,37;1965,36;1965,36
Tesouro Educa+;15/12/2035;22/10/2025;7,72;7,84;2599,79;2577,28;2577,28
Tesouro Educa+;15/12/2032;22/10/2025;8,01;8,13;3207,3;3190,16;3190,16
Tesouro Educa+;15/12/2033;22/10/2025;7,9;8,02;2987,48;2968,22;2968,22
Tesouro Educa+;15/12/2045;22/10/2025;7,25;7,37;1339,37;1313,06;1313,06
Tesouro Selic;01/03/2027;21/10/2025;0,02;0,03;17607,99;17595,85;17595,85
Tesouro Selic;01/03/2029;21/10/2025;0,08;0,09;17566,83;17551,19;17551,19
Tesouro Selic;01/03/2031;21/10/2025;0,1;0,11;17518,23;17499,17;17499,17
;;;;;;;
Tesouro Selic;01/03/2028;21/10/2025;0,05;0,06;17593,16;17579,25;17579,25
Tesouro Prefixado;01/01/2029;21/10/2025;13,25;13,37;674,67;672,08;672,08
Tesouro Prefixado;01/01/2028;21/10/2025;13,22;13,34;763;760,86;760,86
;;;;;;;
Tesouro Prefixado;01/01/2027;21/10/2025;13,84;13,96;857,88;856,37;856,37
Tesouro Prefixado;01/01/2032;21/10/2025;13,72;13,84;453,48;450,31;450,31
Tesouro Prefixado;01/01/2031;21/10/2025;13,55;13,67;519,68;516,6;516,6
Tesouro IPCA+ com Juros Semestrais;15/08/2040;21/10/2025;7,49;7,61;4039,57;3995,51;3995,51
Tesouro IPCA+ com Juros Semestrais;15/08/2030;21/10/2025;8;8,12;4274;4252,75;4252,75
Tesouro IPCA+ com Juros Semestrais;15/08/2060;21/10/2025;7,27;7,39;3916,11;3856,73;3856,73
Tesouro IPCA+ com Juros Semestrais;15/05/2035;21/10/2025;7,66;7,78;4200,67;4166,36;4166,36
Tesouro IPCA+ com Juros Semestrais;15/08/2032;21/10/2025;7,87;7,99;4190,79;4163,53;4163,53
Tesouro IPCA+ com Juros Semestrais;15/05/2055;21/10/2025;7,26;7,38;4019,32;3961,54;3961,54
Tesouro IPCA+ com Juros Semestrais;15/05/2045;21/10/2025;7,4;7,52;4058,5;4008,42;4008,42
Tesouro IPCA+ com Juros Semestrais;15/08/2050;21/10/2025;7,3;7,42;3970,54;3915,62;3915,62
;;;;;;;
Tesouro IPCA+;15/05/2045;21/10/2025;7,24;7,36;1171,99;1146,39;1146,39
Tesouro IPCA+;15/05/2029;21/10/2025;8,05;8,17;3471,12;3456,26;3456,26
Tesouro IPCA+;15/05/2035;21/10/2025;7,57;7,69;2281,09;2256,26;2256,26
;;;;;;;
Tesouro IPCA+;15/08/2040;21/10/2025;7,36;7,48;1602,37;1575,67;1575,67
Tesouro IPCA+;15/08/2050;21/10/2025;7,06;7,18;848,2;824,82;824,82
Tesouro IGPM+ com Juros Semestrais;01/01/2031;21/10/2025;8;8,12;7743,61;7706,93;7706,93
Tesouro Prefixado com Juros Semestrais;01/01/2031;21/10/2025;13,64;13,76;907,04;902,81;902,81
Tesouro Prefixado com Juros Semestrais;01/01/2029;21/10/2025;13,31;13,43;952,75;949,56;949,56
Tesouro Prefixado com Juros Semestrais;01/01/2035;21/10/2025;13,82;13,94;846,31;840,83;840,83
Tesouro Prefixado com Juros Semestrais;01/01/2027;21/10/2025;13,87;13,99;991,75;990,08;990,08
Tesouro Prefixado com Juros Semestrais;01/01/2033;21/10/2025;13,76;13,88;872,11;867,14;867,14
Tesouro Renda+ Aposentadoria Extra;15/12/2054;21/10/2025;7,25;7,37;1299,84;1275,18;1275,18
Tesouro Renda+ Aposentadoria Extra;15/12/2064;21/10/2025;7,07;7,19;678,17;657,89;657,89
Tesouro Renda+ Aposentadoria Extra;15/12/2049;21/10/2025;7,41;7,53;1808,39;1784,09;1784,09
Tesouro Renda+ Aposentadoria Extra;15/12/2074;21/10/2025;7,04;7,16;347,47;333,34;333,34
Tesouro Renda+ Aposentadoria Extra;15/12/2084;21/10/2025;7,05;7,17;175,92;166,9;166,9
Tesouro Renda+ Aposentadoria Extra;15/12/2059;21/10/2025;7,14;7,26;938,68;915,72;915,72
Tesouro Renda+ Aposentadoria Extra;15/12/2069;21/10/2025;7,04;7,16;487,27;470,06;470,06
Tesouro Renda+ Aposentadoria Extra;15/12/2079;21/10/2025;7,05;7,17;246,8;235,45;235,45
Tesouro Educa+;15/12/2037;21/10/2025;7,57;7,69;2271,37;2246,69;2246,69
Tesouro Educa+;15/12/2040;21/10/2025;7,43;7,55;1857,63;1831,32;1831,32
Tesouro Educa+;15/12/2046;21/10/2025;7,25;7,37;1248,98;1223,08;1223,08
Tesouro Educa+;15/12/2044;21/10/2025;7,31;7,43;1422,27;1395,89;1395,89
Tesouro Educa+;15/12/2034;21/10/2025;7,78;7,9;2788,52;2767,45;2767,45
Tesouro Educa+;15/12/2047;21/10/2025;7,22;7,34;1171,54;1145,96;1145,96
Tesouro Educa+;15/12/2041;21/10/2025;7,39;7,51;1738,41;1711,88;1711,88
Tesouro Educa+;15/12/2043;21/10/2025;7,33;7,45;1521,35;1494,8;1494,8
Tesouro Educa+;15/12/2038;21/10/2025;7,51;7,63;2125,23;2099,8;2099,8
Tesouro Educa+;15/12/2030;21/10/2025;8,27;8,39;3713,91;3702,2;3702,2
Tesouro Educa+;15/12/2031;21/10/2025;8,09;8,21;3452,42;3437,75;3437,75
Tesouro Educa+;15/12/2042;21/10/2025;7,36;7,48;1625,89;1599,29;1599,29
Tesouro Educa+;15/12/2039;21/10/2025;7,47;7,59;1986,42;1960,48;1960,48
Tesouro Educa+;15/12/2035;21/10/2025;7,71;7,83;2600,65;2578,13;2578,13
Tesouro Educa+;15/12/2032;21/10/2025;7,96;8,08;3212,78;3195,58;3195,58
Tesouro Educa+;15/12/2033;21/10/2025;7,86;7,98;2992,46;2973,15;2973,15
Tesouro Educa+;15/12/2045;21/10/2025;7,28;7,4;1332,4;1306,22;1306,22
Tesouro Educa+;15/12/2036;21/10/2025;7,64;7,76;2428,78;2405,06;2405,06
Tesouro Selic;01/03/2028;20/10/2025;0,05;0,06;17583,56;17569,66;17569,66
Tesouro Selic;01/03/2027;20/10/2025;0,02;0,03;17598,47;17586,33;17586,33
Tesouro Selic;01/03/2031;20/10/2025;0,1;0,11;17508,42;17489,36;17489,36
;;;;;;;
Tesouro Selic;01/03/2029;20/10/2025;0,08;0,09;17557,15;17541,52;17541,52
Tesouro Prefixado;01/01/2032;20/10/2025;13,81;13,93;451,04;447,9;447,9
Tesouro Prefixado;01/01/2029;20/10/2025;13,36;13,48;672,27;669,68;669,68
Tesouro Prefixado;01/01/2031;20/10/2025;13,65;13,77;517,07;514;514
Tesouro Prefixado;01/01/2027;20/10/2025;13,9;14,02;856,9;855,39;855,39
Tesouro Prefixado;01/01/2028;20/10/2025;13,31;13,43;761,3;759,16;759,16
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/05/2055;20/10/2025;7,3;7,42;3998,98;3941,65;3941,65
Tesouro IPCA+ com Juros Semestrais;15/05/2045;20/10/2025;7,45;7,57;4036,7;3986,98;3986,98
Tesouro IPCA+ com Juros Semestrais;15/08/2032;20/10/2025;7,92;8,04;4178,51;4151,31;4151,31
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/08/2050;20/10/2025;7,34;7,46;3951,19;3896,64;3896,64
Tesouro IPCA+ com Juros Semestrais;15/08/2040;20/10/2025;7,54;7,66;4020,3;3976,5;3976,5
Tesouro IPCA+ com Juros Semestrais;15/08/2030;20/10/2025;8,03;8,15;4267,48;4246,25;4246,25
Tesouro IPCA+ com Juros Semestrais;15/05/2035;20/10/2025;7,72;7,84;4182,71;4148,57;4148,57
Tesouro IPCA+ com Juros Semestrais;15/08/2060;20/10/2025;7,31;7,43;3895,24;3836,37;3836,37
Tesouro IPCA+;15/08/2040;20/10/2025;7,41;7,53;1590,86;1564,35;1564,35
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/10/2025;7,75;7,87;4169,41;4135,33;4135,33
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/10/2025;7,46;7,58;4027,82;3978,19;3978,19
Tesouro IPCA+ com Juros Semestrais;15/05/2055;15/10/2025;7,32;7,44;3984,86;3927,77;3927,77
Tesouro IPCA+;15/05/2045;15/10/2025;7,29;7,41;1159,66;1134,31;1134,31
Tesouro IPCA+;15/08/2040;15/10/2025;7,41;7,53;1588,97;1562,47;1562,47
Tesouro IPCA+;15/05/2029;15/10/2025;8,08;8,2;3462,04;3447,16;3447,16
;;;;;;;
Tesouro IPCA+;15/08/2050;15/10/2025;7,12;7,24;835,32;812,28;812,28
Tesouro IPCA+;15/05/2035;15/10/2025;7,66;7,78;2259,48;2234,86;2234,86
Tesouro IGPM+ com Juros Semestrais;01/01/2031;15/10/2025;8,04;8,16;7721,68;7684,98;7684,98
Tesouro Prefixado com Juros Semestrais;01/01/2035;15/10/2025;13,96;14,08;838,69;833,25;833,25
Tesouro Prefixado com Juros Semestrais;01/01/2027;15/10/2025;13,95;14,07;988,93;987,24;987,24
Tesouro Prefixado com Juros Semestrais;01/01/2033;15/10/2025;13,9;14,02;865,05;860,11;860,11
Tesouro Prefixado com Juros Semestrais;01/01/2029;15/10/2025;13,47;13,59;947,23;944,05;944,05
Tesouro Prefixado com Juros Semestrais;01/01/2031;15/10/2025;13,81;13,93;899,86;895,64;895,64
Tesouro Renda+ Aposentadoria Extra;15/12/2054;15/10/2025;7,31;7,43;1285,7;1261,32;1261,32
Tesouro Renda+ Aposentadoria Extra;15/12/2074;15/10/2025;7,12;7,24;337,56;323,84;323,84
Tesouro Renda+ Aposentadoria Extra;15/12/2084;15/10/2025;7,13;7,25;169,63;160,94;160,94
Tesouro Renda+ Aposentadoria Extra;15/12/2079;15/10/2025;7,13;7,25;238,87;227,89;227,89
Tesouro Renda+ Aposentadoria Extra;15/12/2064;15/10/2025;7,13;7,25;667,06;647,12;647,12
Tesouro Renda+ Aposentadoria Extra;15/12/2059;15/10/2025;7,2;7,32;925,89;903,24;903,24
Tesouro Renda+ Aposentadoria Extra;15/12/2049;15/10/2025;7,48;7,6;1791,76;1767,69;1767,69
Tesouro Renda+ Aposentadoria Extra;15/12/2069;15/10/2025;7,1;7,22;477,95;461,08;461,08
Tesouro Educa+;15/12/2031;15/10/2025;8,13;8,25;3442,28;3427,59;3427,59
Tesouro Educa+;15/12/2030;15/10/2025;8,31;8,43;3704,27;3692,53;3692,53
Tesouro Educa+;15/12/2042;15/10/2025;7,42;7,54;1610,33;1583,97;1583,97
Tesouro Educa+;15/12/2039;15/10/2025;7,54;7,66;1968,58;1942,85;1942,85
Tesouro Educa+;15/12/2035;15/10/2025;7,79;7,91;2582,12;2559,72;2559,72
Tesouro Educa+;15/12/2034;15/10/2025;7,86;7,98;2770,68;2749,7;2749,7
Tesouro Educa+;15/12/2032;15/10/2025;8;8,12;3202,22;3185,03;3185,03
Tesouro Educa+;15/12/2041;15/10/2025;7,45;7,57;1722,73;1696,43;1696,43
Tesouro Educa+;15/12/2033;15/10/2025;7,92;8,04;2978,52;2959,26;2959,26
Tesouro Educa+;15/12/2045;15/10/2025;7,33;7,45;1319,6;1293,66;1293,66
Tesouro Educa+;15/12/2047;15/10/2025;7,28;7,4;1157,12;1131,85;1131,85
Tesouro Educa+;15/12/2040;15/10/2025;7,49;7,61;1841,89;1815,79;1815,79
Tesouro Educa+;15/12/2044;15/10/2025;7,36;7,48;1409,26;1383,1;1383,1
Tesouro Educa+;15/12/2046;15/10/2025;7,3;7,42;1236,41;1210,76;1210,76
Tesouro Educa+;15/12/2037;15/10/2025;7,66;7,78;2249,89;2225,42;2225,42
Tesouro Educa+;15/12/2038;15/10/2025;7,6;7,72;2103,39;2078,21;2078,21
Tesouro Educa+;15/12/2036;15/10/2025;7,73;7,85;2407,79;2384,26;2384,26
Tesouro Educa+;15/12/2043;15/10/2025;7,39;7,51;1505,96;1479,66;1479,66
Tesouro Selic;01/03/2027;14/10/2025;0,03;0,04;17559,19;17547,06;17547,06
;;;;;;;
Tesouro Selic;01/03/2031;14/10/2025;0,1;0,11;17467,92;17448,86;17448,86
Tesouro Selic;01/03/2029;14/10/2025;0,08;0,09;17518,03;17502,4;17502,4
Tesouro Selic;01/03/2028;14/10/2025;0,05;0,06;17544,85;17530,96;17530,96
Tesouro Prefixado;01/01/2027;14/10/2025;13,93;14,05;854,86;853,34;853,34
Tesouro Prefixado;01/01/2028;14/10/2025;13,43;13,55;758,02;755,88;755,88
Tesouro Prefixado;01/01/2031;14/10/2025;13,78;13,9;512,98;509,93;509,93
Tesouro Prefixado;01/01/2032;14/10/2025;13,94;14,06;446,96;443,83;443,83
Tesouro Prefixado;01/01/2029;14/10/2025;13,48;13,6;668,67;666,09;666,09
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/08/2030;14/10/2025;8,06;8,18;4255,59;4233,97;4233,97
Tesouro IPCA+ com Juros Semestrais;15/08/2040;14/10/2025;7,56;7,68;4006,93;3962,87;3962,87
Tesouro IPCA+ com Juros Semestrais;15/08/2050;14/10/2025;7,37;7,49;3931,75;3877,15;3877,15
Tesouro IPCA+ com Juros Semestrais;15/05/2055;14/10/2025;7,32;7,44;3983,47;3926,02;3926,02
Tesouro IPCA+ com Juros Semestrais;15/05/2045;14/10/2025;7,47;7,59;4022,35;3972,43;3972,43
